ID;palavra;categoria;número de sílabas;classificação por número de sílabas;acento;tipo de acento;peso palavra;dificuldade
187;dragão;sílabas CCV;2.0;Dissílaba;1.0;til (~);7.0;muito difícil
188;drama;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
189;flauta;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
190;floco;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
191;fraco;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
192;frita;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
193;fruta;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
194;grama;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
195;grato;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
196;grito;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
197;plano;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
198;pluma;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
199;prato;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
200;preto;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
201;primavera;sílabas CCV;4.0;Polissílaba;0.0;;8.0;muito difícil
202;preso;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
203;trevo;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
204;trigo;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
205;troco;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
206;trama;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
207;trofa;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
208;placa;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
209;prosa;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
210;droga;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
211;grade;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
212;clara;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
213;frota;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
